TOKEN	TYPE	COUNT	RATIO	FORMAT	CASE	LENGTH	INDEXES
do	do	11	0.0285714	W	L	2	28,40,73,92,110,214,218,227,334,348,361
Espinhos	espinhos	1	0.0025974	W	S	8	376
premiou	premiou	2	0.00519481	W	L	7	103,329
Francinalva	francinalva	3	0.00779221	W	S	11	47,142,197
Ferreira	ferreira	1	0.0025974	W	S	8	324
Sousa	sousa	1	0.0025974	W	S	5	307
Pequenas	pequenas	1	0.0025974	W	S	8	235
diversificadas	diversificadas	1	0.0025974	W	L	14	256
Comidinha	comidinha	1	0.0025974	W	S	9	295
base	base	2	0.00519481	W	L	4	109,258
vencedor	vencedor	1	0.0025974	W	L	8	27
Márcia	marcia	1	0.0025974	W	S	6	304
elaboraram	elaboraram	1	0.0025974	W	L	10	254
segredo	segredo	2	0.00519481	W	L	7	158,171
Maria	maria	1	0.0025974	W	S	5	291
contou	contou	3	0.00779221	W	L	6	141,156,194
parceria	parceria	1	0.0025974	W	L	8	95
nova	nova	1	0.0025974	W	L	4	151
não	nao	1	0.0025974	W	L	3	129
prêmio	premio	1	0.0025974	W	L	6	63
cozinheiros	cozinheiros	1	0.0025974	W	L	11	253
nos	nos	1	0.0025974	W	L	3	245
pequi	pequi	9	0.0233766	W	L	5	33,260,282,288,300,312,316,320,345
dias	dias	1	0.0025974	W	L	4	246
Vídeos	videos	1	0.0025974	W	S	6	343
chegar	chegar	1	0.0025974	W	L	6	185
Dias	dias	1	0.0025974	W	S	4	357
competidores	competidores	1	0.0025974	W	L	12	265
apoio	apoio	1	0.0025974	W	L	5	226
conseguir	conseguir	1	0.0025974	W	L	9	184
Ângela	angela	1	0.0025974	W	S	6	290
a	a	2	0.00519481	W	L	1	97,120
2º	2o	1	0.0025974	NA	NA	2	71
<eol>	<eol>	21	0.0545455	NA	NA	5	5,20,69,113,145,196,211,262,271,278,283,294,301,308,313,325,342,351,368,373,385
qualidade	qualidade	1	0.0025974	W	L	9	176
23	23	1	0.0025974	N	NA	2	247
conseguiu	conseguiu	2	0.00519481	W	L	9	8,50
24	24	1	0.0025974	N	NA	2	249
ocorreu	ocorreu	1	0.0025974	W	L	7	244
minutos	minutos	1	0.0025974	W	L	7	191
teve	teve	1	0.0025974	W	L	4	225
25	25	1	0.0025974	N	NA	2	82
na	na	4	0.0103896	W	L	2	77,153,200,371
realizado	realizado	2	0.00519481	W	L	9	76,88
e	e	9	0.0233766	W	L	1	53,101,125,135,155,223,234,248,377
estabeleceu	estabeleceu	1	0.0025974	W	L	11	149
Prefeitura	prefeitura	1	0.0025974	W	S	10	98
Pequi	pequi	6	0.0155844	W	S	5	74,173,215,352,370,374
